,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,BEDS_BATH_RATIO,SQFT_BEDS_RATIO,SQFT_BATH_RATIO,SQFT For TotalRooms,LOCATION_SIZE,Distance_to_center
298,2,1100000,1,1.0,726.0,11,40.7078844,-74.0140879,1.0,726.0,726.0,363.0,-2187406.7342325677,8455.351474498893
301,10,599000,4,3.0,1176.0,11,40.638069,-74.1627747,1.3333333333333333,294.0,392.0,168.0,-3544266.379656304,22315.308698054534
302,10,1230000,4,3.0,2184.207862,14,40.700194,-73.8907488,1.3333333333333333,546.0519655,728.0692873333334,312.0296945714286,-6568716.416636067,10881.496181845014
306,7,799000,5,3.0,1800.0,9,40.6336127,-73.9276041,1.6666666666666667,360.0,600.0,225.0,-5407102.139108998,16329.160863193092
312,10,860000,5,3.0,2324.0,9,40.5768936,-74.0048793,1.6666666666666667,464.8,774.6666666666666,290.5,-6978711.975162654,22394.3204554466
316,2,850000,2,2.0,1005.0,11,40.856444,-73.9377616,1.0,502.5,502.5,251.25,-3035938.186377229,9308.542934600815
320,10,849998,4,2.0,2342.0,16,40.5487767,-74.1629254,2.0,585.5,1171.0,390.3333333333333,-7042899.641227186,30056.097172954167
321,5,1100000,2,2.0,2184.207862,11,40.807426,-73.9535703,1.0,1092.103931,1092.103931,546.0519655,-6591622.284181758,3731.5199353800526
322,10,998000,5,3.0,1574.0,14,40.7190856,-73.9060914,1.6666666666666667,314.8,524.6666666666666,196.75,-4736777.43931081,8438.161347261856
323,10,1500000,3,2.0,2184.207862,9,40.634316,-73.9462919,1.5,728.0692873333334,1092.103931,436.8415724,-6563013.845528655,15969.688294721285
325,2,2350000,1,2.0,1144.0,12,40.7449256,-74.0057175,0.5,1144.0,572.0,381.3333333333333,-3449568.9268178632,4566.938125837417
328,0,1200000,3,2.0,2184.207862,11,40.7687538,-73.9631311,1.5,728.0692873333334,1092.103931,436.8415724,-6586226.929581952,1118.762991056439
330,0,1300000,2,2.0,2184.207862,11,40.7895034,-73.9769713,1.0,1092.103931,1092.103931,546.0519655,-6590812.106683977,1503.5855609871426
331,5,799000,3,1.0,585.0,11,40.7804721,-73.9871434,3.0,195.0,585.0,146.25,-1765079.9227517033,1397.5347876228595
332,0,339000,3,1.0,250.0,11,40.7488879,-73.9723947,3.0,83.33333333333333,250.0,62.5,-753573.2048312135,3091.2186862001436
336,7,285000,2,1.0,1380.0,14,40.7128326,-73.7435779,2.0,690.0,1380.0,460.0,-4143187.7204675083,20457.243205093593
338,12,795000,4,2.0,1440.0,12,40.8767388,-73.911189,2.0,360.0,720.0,240.0,-4350597.648696624,12222.811712209525
339,0,1799995,2,2.0,2184.207862,11,40.7708932,-73.9586258,1.0,1092.103931,1092.103931,546.0519655,-6586171.345024912,1247.5145840059465
340,7,250000,3,2.3738608579684373,1224.0,14,40.6505528,-73.8316736,1.2637640449438203,408.0,515.6157303370787,227.76920213425984,-3673589.1754907393,18308.789122616687
342,11,668000,3,2.0,1606.0,14,40.7299787,-73.7310756,1.5,535.3333333333334,803.0,321.2,-4822922.61277804,20892.17539147235
343,7,699900,3,2.0,1470.0,16,40.6153952,-74.1610855,1.5,490.0,735.0,294.0,-4427760.24018393,24032.41543272796
345,2,2265000,2,2.0,1123.0,11,40.710456,-73.991235,1.0,561.5,561.5,280.75,-3382719.597626099,7552.030225041708
346,0,459000,2,1.0,950.0,13,40.7607942,-73.8258766,2.0,475.0,950.0,316.6666666666667,-2858741.294590836,12375.055863804151
348,7,879000,4,2.0,2184.207862,14,40.7294367,-73.7125595,2.0,546.0519655,1092.103931,364.0346436666667,-6557583.979172148,22420.387324967694
349,2,559000,1,1.0,679.0,10,40.7945743,-73.9434214,1.0,679.0,679.0,339.5,-2048196.9804446883,3078.695700929576
350,10,869888,4,3.0,2184.207862,14,40.7019014,-73.8256776,1.3333333333333333,546.0519655,728.0692873333334,312.0296945714286,-6563207.056997065,14822.254897955885
351,7,799888,3,2.0,2184.207862,14,40.7138975,-73.8970229,1.5,728.0692873333334,1092.103931,436.8415724,-6571486.00299613,9375.823492271706
353,7,499000,2,3.0,2184.207862,14,40.6886004,-73.7568067,0.6666666666666666,1092.103931,728.0692873333334,436.8415724,-6554941.542948759,20557.560744574705
361,6,479000,6,2.0,3100.0,16,40.6268305,-74.1471405,3.0,516.6666666666666,1550.0,387.5,-9338326.258374874,22300.11515755303
365,0,105000,3,1.0,656.0,20,40.8560699,-73.8688751,3.0,218.66666666666666,656.0,164.0,-1979802.7024851,12339.422935513596
366,7,300000,3,1.0,952.0,11,40.6162917,-73.929914,3.0,317.3333333333333,952.0,238.0,-2858626.5226656776,18172.35644623892
368,0,202000,2,1.0,1453.0,13,40.7802813,-73.7818912,2.0,726.5,1453.0,484.3333333333333,-4371853.641907838,15955.268554967734
369,4,720000,3,2.0,1430.0,16,40.6149561,-74.0745548,1.5,476.6666666666667,715.0,286.0,-4302204.751600534,19977.83450694373
370,7,600000,5,2.0,2184.207862,9,40.6422956,-73.972787,2.5,436.8415724,1092.103931,312.0296945714286,-6566654.665611517,14942.929634162474
372,2,235000,2,1.0,860.0,19,40.6192765,-74.09515,2.0,430.0,860.0,286.6666666666667,-2588334.5912367185,20378.84457853462
373,0,319000,3,1.0,960.0,14,40.7598591,-73.7290086,3.0,320.0,960.0,240.0,-2884976.6420339406,20491.64630348399
375,10,1088888,4,2.0,2184.207862,14,40.7860789,-73.7928524,2.0,546.0519655,1092.103931,364.0346436666667,-6573856.489576859,15062.9598207011
377,8,650000,3,2.3738608579684373,2184.207862,9,40.6799197,-73.8839962,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6564844.300042586,13034.499605908906
378,7,774888,3,2.0,960.0,16,40.5525576,-74.1709014,1.5,320.0,480.0,192.0,-2887506.961216724,30073.574427784726
379,0,105509,1,1.0,650.0,20,40.879078,-73.9175196,1.0,650.0,650.0,325.0,-1964092.032041704,12253.406147661928
380,10,995000,5,2.0,2184.207862,9,40.6862289,-73.9364224,2.5,436.8415724,1092.103931,312.0296945714286,-6570521.4347606655,10478.334553379469
383,0,395995,2,1.0,1100.0,20,40.9048823,-73.9051113,2.0,550.0,1100.0,366.6666666666667,-3325387.86700439,15305.294400640409
384,5,975000,1,2.0,900.0,11,40.7585686,-73.9669708,0.5,900.0,450.0,300.0,-2713309.068137397,2046.5089823913636
386,0,1649000,2,2.0,2184.207862,11,40.777244,-73.9868738,1.0,1092.103931,1092.103931,546.0519655,-6589713.195399982,1311.1179519319633
388,11,748999,3,2.0,1620.0,16,40.606691,-74.0724094,1.5,540.0,810.0,324.0,-4872693.413012697,20734.149562476276
389,7,635000,3,2.0,2184.207862,14,40.6933533,-73.7503369,1.5,728.0692873333334,1092.103931,436.8415724,-6555132.182509868,20797.113736188527
390,0,149000,3,1.0,400.0,11,40.7276196,-73.9848906,3.0,133.33333333333334,400.0,100.0,-1205291.3922017661,5573.294413740922
391,7,1099000,5,2.0,1760.0,14,40.6481943,-73.8452374,2.5,352.0,880.0,251.42857142857142,-5282948.982018095,17805.514869712024
394,7,675000,3,1.0,1404.0,16,40.6333513,-74.1021333,3.0,468.0,1404.0,351.0,-4227469.292299493,19379.78394545634
400,8,999000,3,2.0,950.0,14,40.7644631,-73.8297531,1.5,316.6666666666667,475.0,190.0,-2859148.733630708,11998.715789965476
402,8,790000,3,2.3738608579684373,2184.207862,14,40.7827104,-73.8457691,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6578027.267750715,10592.711789798068
407,8,350000,3,2.3738608579684373,2184.207862,9,40.6753179,-73.9008593,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6565599.845018439,12738.916260131662
410,8,2500000,3,2.3738608579684373,2184.207862,9,40.578639,-73.965449,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6555719.162114638,22026.27651845511
411,8,350000,3,2.3738608579684373,2184.207862,9,40.5844107,-73.9380366,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6554221.6479785815,21562.377242502247
412,8,150000,3,2.3738608579684373,2184.207862,16,40.6171535,-74.0890497,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6572906.804935311,20326.01135156376
414,8,150000,3,2.3738608579684373,2184.207862,16,40.6170275,-74.0893192,1.2637640449438203,728.0692873333334,920.107787559738,406.45039380973657,-6572910.323844121,20349.340872425055
415,0,235000,3,2.0,1400.0,13,40.7142299,-73.8152,1.5,466.6666666666667,700.0,280.0,-4207460.632080272,14872.561357395873
